"%s was added to your shopping cart.","%s is toegevoegd aan uw winkelwagen."
"%s was updated in your shopping cart.","%s is bijgewerkt in uw winkelmandje."
"* Required Fields","* Verplichte velden"
"Add New Address","Nieuw adres toevoegen"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Add coupon code for shopping cart","Vouchercode voor winkelmandje toevoegen"
"Add gift messages to shopping cart","Cadeauboodschappen aan winkelmandje toevoegen"
"Add product to shopping cart","Product aan winkelmandje toevoegen"
"Add product(s) to shopping cart","Product(en) aan winkelmandje toevoegen"
"Add to Cart","In winkelwagen"
"Add to Compare","Toon in vergelijking"
"Add to Wishlist","Zet op verlanglijst"
"Additional Product Info","Additionele productinformatie"
"Address","Adres"
"Address %s of %s","Adres %s van %s"
"After Adding a Product Redirect to Shopping Cart","Winkelmandje tonen na toevoegen van een product"
"Allow Guest Checkout","Afrekenen als gast toestaan"
"Already registered?","Een vorige keer uw gegevens bewaard?"
"An error occurred in the process of payment","Er is een fout opgetreden tijdens het betalen"
"An error occurred while deleting this condition.","Er is een fout opgetreden bij het verwijderen van deze conditie"
"An error occurred while saving this condition.","Er is een fout opgetreden bij het opslaan van deze conditie"
"Apply Coupon","Kortingscode gebruiken"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel wilt verwijderen uit uw winkelwagen?"
"Back","Terug"
"Back to Billing Information","Terug naar factuurinformatie"
"Back to Select Addresses","Terug naar adresinformatie"
"Back to Shipping Information","Terug naar afleveradres"
"Back to Shopping Cart","Terug naar winkelwagen"
"Based on your selection, you may be interested in the following items:","Gebaseerd op uw selectie, bent u wellicht ook geïnteresseerd in de volgende artikelen:"
"Billing Address","Factuuradres"
"Billing Information","Factuuradres"
"Billing Information - %s","Factuuradres - %s"
"Cancel Coupon","Kortingscode annuleren"
"Cannot add item to the shopping cart.","Kan dit artikel niet toevoegen aan de winkelwagen"
"Cannot add the item to shopping cart","Kan dit artikel niet toevoegen aan de winkelwagen"
"Cannot add the item to shopping cart.","Kan dit artikel niet toevoegen aan de winkelwagen"
"Cannot apply the coupon code.","We kunnen de kortingscode niet toepassen."
"Cannot configure product.","Kan product niet configureren."
"Cannot open the overview page","Kan de overzichtspagina niet openen"
"Cannot process the item.","Kan artikel niet verwerken."
"Cannot remove the item.","Kan dit artikel niet verwijderen"
"Cannot update shopping cart.","Kan de winkelwagen niet updaten"
"Cannot update the item.","Kan artikel niet bijwerken."
"Card Verification Number Visual Reference","Kaart bevestigingsnummer visuele referentie"
"Cart Product API","Mandje product API"
"Cart Subtotal:","Subtotaal winkelwagen:"
"Change","Wijzigen"
"Change Billing Address","Wijzigen"
"Checkbox Text","Tekst checkbox"
"Checkout","Afrekenen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Method","Registreren en bestellen"
"Checkout Options","Betaalopties"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Sectie Afrekenen"
"Checkout Terms and Conditions","Algemene Voorwaarden"
"Checkout as Guest","Eenmalige aankoop. Geen account aanmaken"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"Checkout with Multiple Addresses","Afrekenen met meerdere adressen"
"City","Plaats"
"Clear Shopping Cart","Wis winkelwagen"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" onclick=""this.target='_blank'"">hier</a> om een kopie van de orderbevestiging te printen."
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">hier</a> om door te gaan met winkelen."
"Close","Sluiten"
"Company","Bedrijf"
"Condition Name","Naam van voorwaarde"
"Configurable Product Image","Afbeelding configureerbaar product"
"Configure Cart Item","Artikel in mandje configureren"
"Confirm Password","Bevestig het wachtwoord"
"Content","Inhoud"
"Content Height","Hoogte inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"Continue","Ga verder"
"Continue Shopping","Ga verder met winkelen"
"Continue to Billing Information","Ga verder naar factuuradres"
"Continue to Review Your Order","Ga verder met het bekijken van uw bestelling"
"Continue to Shipping Information","Ga verder naar afleveradres"
"Country","Land"
"Coupon code "%s" is not valid.","Coupon code "%s" is not valid."
"Coupon code "%s" was applied.","Coupon code "%s" was applied."
"Coupon code was canceled.","De door u ingevoerde kortingscode is geannuleerd."
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
"Create an order from shopping cart","Maak een bestelling van het winkelmandje aan"
"Create shopping cart","Maak winkelwagen aan"
"Customer Address is not valid.","Klant-adres is niet geldig."
"Customer Information","Klantinformatie"
"Customer's information","Informatie van de klant"
"Data saving problem","Probleem bij het opslaan van gegevens"
"Default Billing","Standaard factuuradres"
"Default Shipping","Standaard afleveradres"
"Delete Condition","Voorwaarde verwijderen"
"Details","Details"
"Disabled","Uitgeschakeld"
"Discount Codes","Kortingcodes"
"Display Cart Summary","Beknopte inhoud winkelwagen tonen"
"Display Shopping Cart Sidebar","Zijbalk winkelwagen tonen"
"Display item quantities","Artikel aantallen tonen"
"Display number of items in cart","Aantal artikelen in winkelwagen tonen"
"Display number of items in wishlist","Toon aantal items in verlanglijst"
"Easy access to your order history and status","Extra mogelijkheden: verlanglijst, meerdere afleveradressen, labels, beoordelingen, etc."
"Edit","Wijzigen"
"Edit Address","Adres bewerken"
"Edit Billing Address","Factuuradres bewerken"
"Edit Condition","Voorwaarde bewerken"
"Edit Items","Artikelen bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"Edit Your Cart","Ga terug naar uw winkelwagen"
"Edit item","Artikel bewerken"
"Edit item parameters","Parameters van artikel bewerken"
"Email Address","E-mailadres"
"Enable Onepage Checkout","OnePageCheckout (standaard Checkout) activeren"
"Enable Terms and Conditions","Algemene Voorwaarden activeren"
"Enabled","Ingeschakeld"
"Enter a New Address","Voer een nieuw adres in"
"Enter your coupon code if you have one.","Voer een kortingscode in als u er één heeft."
"Enter your destination to get a shipping estimate.","Voer een bestemming in om een schatting te krijgen van de verzendkosten."
"Estimate Shipping and Tax","Verzendkosten en BTW schatten"
"Excl. Tax","Excl. BTW"
"Fast and easy check out","Maar &eacute;&eacute;n keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen."
"Fax","Faxnummer"
"Forgot an Item?","Iets vergeten?"
"Forgot your password?","Uw wachtwoord vergeten?"
"Get a Quote","Kostenopgave tonen"
"Get list of available payment methods","Lijst van beschikbare betalingsmethoden verkrijgen"
"Get list of available shipping methods","Lijst van beschikbare verzendingsmethoden verkrijgen"
"Get list of products in shopping cart","Lijst van producten in winkelmandje verkrijgen"
"Get terms and conditions","Voorwaarden verkrijgen"
"Get total prices for shopping cart","Totale prijs voor winkelmandje verkrijgen"
"Gift Message","Cadeauboodschap"
"Grand Total:","Te betalen:"
"Grouped Product Image","Afbeelding gegroepeerd product"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. BTW"
"Invalid checkout type.","Ongeldige kassa type."
"Invalid data.","Ongeldige gegevens."
"Invalid email address "%s"","Invalid email address "%s""
"Invalid method: %s","Ongeldige methode: %s"
"Invalid shipping method.","Ongeldige verzendmethode"
"Item not found or already ordered","Artikel niet gevonden of reeds besteld"
"Items","Artikelen"
"Items After","Artikelen na"
"Items Before","Artikelen voor"
"Load customer quote error","Fout bij laden van klant-offerte"
"Loading next step...","Bezig met laden van de volgende stap..."
"Login","Inloggen"
"Login/Registration Before","Login/Registratie"
"Manage Terms and Conditions","Beheer Algemene voorwaarden"
"Maximum Display Recently Added Item(s)","Maximum aantal recent toegevoegde items"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximale aantal voor verzenden naar verschillende adressen is %s"
"Minimum order amount is %s","Minimum orderbedrag is %s"
"Move","Verplaats"
"Move to Wishlist","Verplaats naar verlanglijst"
"Multishipping Checkout","Verzenden naar meerdere adressen"
"Multishipping Checkout Address (Any) Form","Meervoudige verzending formulier"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Factuuradres creatie."
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Bewerkingsformulier voor Factuuradres"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Selectie van Factuuradres"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Factuurinformatie"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Bewerkingsformulier voor Klantadres"
"Multishipping Checkout Overview","Multishipping Checkout Overzicht"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Afleveradres creatie"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Bewerkingsformulier voor Afleveradres"
"Multishipping Checkout Shipping Address Selection","MultiShipping Checkout Selectie van verzendadres"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Selectie van Factuuradres"
"Multishipping Checkout Success","Multishipping Checkout Succes"
"My Cart","Mijn winkelwagen"
"My Cart (%s item)","Mijn winkelwagen (%s artikel)"
"My Cart (%s items)","Mijn winkelwagen (%s artikelen)"
"My Cart Link","Link naar mijn winkelwagen"
"New Address","Nieuw adres"
"New Condition","Nieuwe Algemene Voorwaarden"
"New Terms and Conditions","Nieuwe Algemene Voorwaarden"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","BESTELLINGSTOTAAL ZAL WEERGEGEVEN WORDEN VOORDAT U DE BESTELLING VERZENDT"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout mislukt"
"One Page Checkout Overview","One Page Checkout overzicht"
"One Page Checkout Success","One Page Checkout succesvol"
"One item of products do not have identifier or sku","Een item van de producten heeft geen identifier of sku"
"One item of products is not belong any of quote item","Een item van de producten behoort niet toe tot een van de offerte items"
"Order #","Bestelnummer"
"Order Review","Controleer uw bestelling"
"Order Success","Bestelling succes"
"Order place error.","Fout bij het plaatsen van bestelling."
"Other Items in Your Order","Andere artikelen van uw bestelling"
"Overview Items After","Overview Items After"
"Password","Wachtwoord"
"Payment Failed Email Reciever","Wie ontvangt de e-mail bij een mislukte betaling?"
"Payment Failed Email Sender","Wie verstuurt de e-mail bij een mislukte betaling?"
"Payment Failed Emails","E-mails over mislukte betaling"
"Payment Failed Template","Template mislukte betaling"
"Payment Information","Betaalmethode"
"Payment Method","Betaalmethode"
"Payment Methods After Checkout Button","Betaalmethodes na Checkout knop"
"Payment Methods Before Checkout Button","Betaalmethodes voor Checkout knop"
"Payment method information","Informatie betalingsmethode"
"Payment method is not defined","Betaalmethode is niet gedefinieerd"
"Payment methods in shopping cart","Betalingsmethoden in winkelmandje"
"Payment profile # %s: "%s".","Payment profile # %s: "%s"."
"Place Order","Plaats bestelling"
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please agree to all Terms and Conditions before placing the orders.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please check billing address information.","Gelieve factuuradres informatie te controleren."
"Please check shipping address information.","Gelieve verzendadres informatie te controleren."
"Please check shipping addresses information.","Gelieve verzendadressen informatie te controleren."
"Please choose to register or to checkout as a guest","U kunt ervoor kiezen om u aan te melden of om als gast afrekenen "
"Please log in below:","U kunt hieronder inloggen met uw e-mailadres en wachtwoord."
"Please select region, state or province","Selecteer een gebied, staat of provincie a.u.b."
"Please select shipping address for applicable items","Selecteer een afleveradres voor de betreffende artikelen a.u.b."
"Please select shipping methods for all addresses","Selecteer verzendmethodes voor alle adressen a.u.b."
"Please select valid payment method.","Selecteer geldige betaalmethode."
"Please specify payment method.","Geef betaalmethode."
"Please specify shipping method.","Geef verzendmethode."
"Please specify shipping methods for all addresses.","Geef verzendmethoden voor alle adressen."
"Price","Prijs"
"Proceed to Checkout","Ga door naar afrekenen"
"Product","Product"
"Product Name","Productnaam"
"Products","Producten"
"Qty","Aantal"
"Qty:","Hoeveelheid:"
"Quantity was recalculated from %d to %d","Hoeveelheid is opnieuw berekend van %d tot %d"
"Quote Lifetime (days)","Geldigheid winkelmandje (dagen)"
"Quote item does not exist.","Prijsopgaaf artikel bestaat niet."
"Quote item is not found.","Prijsopgaaf artikel is niet gevonden."
"Recently added item(s)","Recent toegevoegd"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Register and save time!","Voordelen van een account"
"Register to Create an Account","Registreer om een account aan te maken"
"Register with us for future convenience:","Bewaar uw gegevens. Dat werkt sneller en makkelijker."
"Remove Item","Artikel verwijderen"
"Remove This Item","Dit artikel verwijderen"
"Remove coupon code from shopping cart","Verwijder vouchercode uit winkelmandje"
"Remove item","Artikel verwijderen"
"Remove product from shopping cart","Verwijder product uit winkelmandje"
"Remove product(s) from shopping cart","Verwijder product(en) uit winkelmandje"
"Require Customer To Be Logged In To Checkout","Verplicht klant om zich aan te melden bij de kassa"
"Retrieve information about shopping cart","Informatie over winkelmandje verkrijgen"
"Review Order","Bestelling bekijken"
"Review Order - %s","Bestelling  %s bekijken"
"Sales","Verkopen"
"Save Condition","Algemene Voorwaarden opslaan"
"Save in address book","Opslaan in adresboek"
"See price before order confirmation.","Zie prijs voor bevestiging van bestelling."
"Select Address","Adres selecteren"
"Select Addresses","Adres selecteren"
"Select Shipping Method","Verzendmethode selecteren"
"Select State/Province...","Provincie selecteren"
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Select a shipping address from your address book or enter a new address.","Selecteer een afleveradres uit uw adresboek of voer een nieuw adres in."
"Send Payment Failed Email Copy Method","Verstuur kopie e-mail als"
"Send Payment Failed Email Copy To","Bij een mislukte betaling een kopie e-mail sturen aan"
"Send To","Verzend naar"
"Separate by ",".","Separate by ","."
"Set customer for shopping cart","Klant instellen voor winkelmandje"
"Set customer's addresses in shopping cart","Stel adres van klant in winkelmandje in"
"Set payment method","Stel betalingsmethode in"
"Set shipping method","Stel verzendingsmethode in"
"Ship to Multiple Addresses","Naar verschillende adressen verzenden"
"Ship to different address","Naar ander adres verzenden"
"Ship to this address","Naar dit adres verzenden"
"Shipping Address","Afleveradres"
"Shipping Information","Afleveradres"
"Shipping Method","Verzendmethode"
"Shipping Methods","Verzendmethodes"
"Shipping To","Verzenden naar"
"Shipping information","Verzendingsinformatie"
"Shipping method has not been selected yet","Verzendmethode is nog niet geselecteerd"
"Shipping methods in shopping cart","Verzendingsmethoden in winkelmandje"
"Shipping selection is not applicable.","Verzendmethode is niet toepasbaar."
"Shopping Cart","Winkelwagen"
"Shopping Cart Form Before","Eerdere aangemaakte winkelwagen"
"Shopping Cart Sidebar","Zijbalk winkelwagen"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Uw winkelwagen is leeg"
"Shopping cart ability to set coupon code","Mogelijk in winkelmandje om vouchercode in te stellen"
"Show Content as","Inhoud tonen als"
"Some of the requested products are not available in the desired quantity.","Bepaalde aangevraagde artikelen zijn niet beschikbaar in de gewilde hoeveelheid."
"Some of the requested products are unavailable.","Bepaalde aangevraagde artikelen zijn niet beschikbaar."
"Some products quantities were recalculated because of quantity increment mismatch","epaalde aangevraagde artikelen zijn niet beschikbaar in de gewilde hoeveelheid."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, u kunt niet afrekenen zonder een account aan te maken. Neemt u gerust contact met ons op."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Sorry, afrekenen als gast is niet ingeschakeld. Probeer het opnieuw of neem contact op met de eigenaar van winkel."
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"State/Province","Provincie"
"Status","Status"
"Store View","Winkelzicht"
"Street Address","Adres"
"Street Address %s","Adres %s"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Subtotal","Subtotaal"
"Subtotal must exceed minimum order amount","Subtotaal moet groter zijn dan minimum orderbedrag"
"Telephone","Telefoonnummer"
"Terms and Conditions","Algemene Voorwaarden"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Terms and conditions","Algemene Voorwaarden"
"Text","Tekst"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"The condition has been deleted","Deze conditie is verwijderd"
"The condition has been saved.","Deze conditie is opgeslagen"
"The onepage checkout is disabled.","De onepage checkout is gedeactiveerd"
"The product could not be found.","Het artikel kan niet gevonden worden"
"The product does not exist.","Het artikel bestaat niet"
"There are <a href=""%s"">%s items</a> in your cart.","Er zijn <a href=""%s"">%s artikelen</a> in U winkelwagen."
"There is <a href=""%s"">1 item</a> in your cart.","Er is <a href=""%s"">1 artikel</a> in U Winkelwagen."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Er is al een klant geregistreerd met behulp van dit e-mailadres. Log in met dit e-mailadres of voer een ander e-mailadres in om je account te registreren."
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij de verwerking van uw bestelling. Neem contact met ons op of probeer het later nog eens"
"This condition no longer exists.","Deze conditie bestaat niet langer meer"
"Total","Totaal"
"Total for this address","Totaal voor dit adres"
"Unable to set Payment Method.","Het is niet mogelijk deze Betaalmethode in te stellen"
"Unit Price","Prijs per stuk"
"Update Cart","Mandje bijwerken"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Update Shopping Cart","Winkelwagen bijwerken"
"Update Total","Totaal bijwerken"
"Update product quantities in shopping cart","Productkwantiteiten in winkelmandje bijwerken"
"Update product(s) quantities in shopping cart","Kwantiteit product(en) in winkelmandje bijwerken"
"Use Billing Address","Factuuradres gebruiken"
"VAT Number","BTW-nummer"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We zijn bezig met het verwerken van uw bestelling. U ontvangt binnenkort een e-mail  met de details van uw bestelling. Wanneer de bestelling verzonden is, ontvangt u nog een e-mail met een link om het pakket te volgen."
"What's this?","Wat is dit?"
"You have no items in your shopping cart.","U heeft niets in uw winkelwagen."
"You will receive an order confirmation email with details of your order and a link to track its progress.","U ontvangt een e-mail ter bevestiging van uw bestelling met de details van uw bestelling en een link om de voortgang te kunnen volgen."
"Your Checkout Progress","Voortgang  bestelling"
"Your billing agreement # is: %s.","Uw incasso overeenkomst # is: %s"
"Your order # is: %s.","Uw ordernummer is: %s"
"Your order cannot be completed at this time as there is no payment methods available for it.","Uw bestelling kan niet worden voltooid op dit moment omdat er geen betaalmethoden beschikbaar voor zijn."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Uw bestelling kan niet worden voltooid op dit moment omdat er geen verzendmethoden beschikbaar voor zijn. Maak de nodige wijzigingen in uw verzendadres."
"Your order has been received.","Uw bestelling is ontvangen."
"Your order number is ","Uw bestelnummer is"
"Your recurring payment profiles:","Uw terugkerende betaalprofielen:"
"Zip/Postal Code","Postcode"
