"%1$s incl tax.","%1$s incl tax."
"%d Review(s)","%d Review(s)"
"%s Item(s)","%s Item(s)"
"%s Review(s)","%s Review(s)"
"%s is required value","%s is required value"
"%s length must be equal to or greater than 1 characters","%s length must be equal to or greater than 1 characters"
"%s was added to your shopping cart.","%s was added to your shopping cart."
"&copy; %s aheadWorks Co.","&copy; %s aheadWorks Co."
"&laquo; Back to Billing Information","&laquo; Back to Billing Information"
"&laquo; Back to Select Addresses","&laquo; Back to Select Addresses"
"&laquo; Back to Shopping Cart","&laquo; Back to Shopping Cart"
"'Mobile Footer Links (Example)' static block as an example","'Mobile Footer Links (Example)' static block as an example"
"(Posted on %s)","(Posted on %s)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"* Required Fields","* Required Fields"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"--Please Select--","--Please Select--"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"<label>Make Check payable to</label>: %s","<label>Make Check payable to</label>: %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"About This Order:","About This Order:"
"About Your Order","About Your Order"
"About the calendar","About the calendar"
"Acceptance Mark","Acceptance Mark"
"Account Information","Account Information"
"Account,"Account"
"Action","Action"
"Actual Price","Actual Price"
"Add All to Cart","Add All to Cart"
"Add Gift Card","Add Gift Card"
"Add Gift Message","Add Gift Message"
"Add Items to Cart","Add Items to Cart"
"Add New Address","Add New Address"
"Add Recipient","Add Recipient"
"Add Your Review","Add Your Review"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Add","Add"
"Added","Added"
"Additional Address Entries","Additional Address Entries"
"Additional Information","Additional Information"
"Additional Options","Additional Options"
"Additional data","Additional data"
"Address %s of %s","Address %s of %s"
"Address Book","Address Book"
"Address Information","Address Information"
"Address","Address"
"Addresses","Addresses"
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"All Tags","All Tags"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount in %s","Amount in %s"
"Amount","Amount"
"Applies only to registered customers, may vary when logged in.","Applies only to registered customers, may vary when logged in."
"Apply Coupon","Apply Coupon"
"Apply","Apply"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Are you sure?","Are you sure?"
"As low as:","As low as:"
"Availability: In stock. Ships within 24 hours.","Availability: In stock. Ships within 24 hours."
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Availability:","Availability:"
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back to Invitations","Back to Invitations"
"Back to Main Product Info","Back to Main Product Info"
"Back to My Orders","Back to My Orders"
"Back to My Reviews","Back to My Reviews"
"Back to Product Reviews","Back to Product Reviews"
"Back to Shipping Information","Back to Shipping Information"
"Back to Tags List","Back to Tags List"
"Back to view Tag","Back to view Tag"
"Back","Back"
"Balance Change","Balance Change"
"Balance History","Balance History"
"Balance is capped at %s.","Balance is capped at %s."
"Balance is limited at %s  %s.","Balance is limited at %s  %s."
"Balance limitation:","Balance limitation:"
"Balance limitations:","Balance limitations:"
"Balance","Balance"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Be the first to review this product","Be the first to review this product"
"Behaviour","Behaviour"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Bookmarks Icon Source ","Bookmarks Icon Source "
"Browse By","Browse By"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %s for %s each","Buy %s for %s each"
"Buy %s for %s","Buy %s for %s"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cancel","Cancel"
"Canceled","Canceled"
"Cannot apply gift card.","Cannot apply gift card."
"Cannot remove gift card.","Cannot remove gift card."
"Cannot remove the item.","Cannot remove the item."
"Card Verification Number","Card Verification Number"
"Card type does not match credit card number.","Card type does not match credit card number."
"Carrier:","Carrier:"
"Cart Subtotal:","Cart Subtotal:"
"Catalog Advanced Search","Catalog Advanced Search"
"Catalog Logo Alt","Catalog Logo Alt"
"Catalog Logo Image","Catalog Logo Image"
"Catalog","Catalog"
"Category Feeds","Category Feeds"
"Category","Category"
"Change Account Password","Change Account Password"
"Change Billing Address","Change Billing Address"
"Change Password","Change Password"
"Change Shipping Address","Change Shipping Address"
"Change","Change"
"Check Gift Card","Check Gift Card"
"Check items to add to the cart or","Check items to add to the cart or"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Check this checkbox if you want to add gift messages to your items.","Check this checkbox if you want to add gift messages to your items."
"Check this checkbox if you want to add gift messages.","Check this checkbox if you want to add gift messages."
"Check","Check"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Checkout now and earn %s %s !","Checkout now and earn %s %s !"
"Checkout now and earn %s %s (%s) !","Checkout now and earn %s %s (%s) !"
"Checkout with Multiple Addresses","Checkout with Multiple Addresses"
"Checkout with PayPal","Checkout with PayPal"
"Checkout","Checkout"
"Choose an Amount...","Choose an Amount..."
"Choose an Option...","Choose an Option..."
"City","City"
"Clear All Items","Clear All Items"
"Click <a href="#" onclick="cartBack(); return false;">here</a> to continue shopping.","Click <a href="#" onclick="cartBack(); return false;">here</a> to continue shopping."
"Click <a href="%s" onclick="this.target=\'_blank\'">here to print</a> a copy of your order confirmation.","Click <a href="%s" onclick="this.target=\'_blank\'">here to print</a> a copy of your order confirmation."
"Click <a href="%s">here</a> to continue shopping.","Click <a href="%s">here</a> to continue shopping."
"Click for price","Click for price"
"Click on a tag to view your corresponding products.","Click on a tag to view your corresponding products."
"Close Window","Close Window"
"Close","Close"
"Closed","Closed"
"Comment","Comment"
"Community Poll","Community Poll"
"Company","Company"
"Compare Items","Compare Items"
"Compare Products - %d Items","Compare Products - %d Items"
"Compare Products","Compare Products"
"Complete","Complete"
"Confirm New Password","Confirm New Password"
"Confirm Password","Confirm Password"
"Contact Information","Contact Information"
"Contact Us","Contact Us"
"Continue &raquo;","Continue &raquo;"
"Continue Shopping","Continue Shopping"
"Continue to Billing Information","Continue to Billing Information"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continue to Shipping Information"
"Continue","Continue"
"Country","Country"
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Create an Account","Create an Account"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Cross-sell Products","Cross-sell Products"
"Currency","Currency"
"Current Balance: %s","Current Balance: %s"
"Current Password","Current Password"
"Current exchange rates:","Current exchange rates:"
"Currently Shopping By","Currently Shopping By"
"Custom Design","Custom Design"
"Customer Name: %s","Customer Name: %s"
"Customer Reviews","Customer Reviews"
"DD","DD"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date of Birth","Date of Birth"
"Date selection:","Date selection:"
"Date","Date"
"Day","Day"
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Default Billing","Default Billing"
"Default Shipping Address","Default Shipping Address"
"Default Shipping","Default Shipping"
"Delete Address","Delete Address"
"Delete","Delete"
"Delivered on:","Delivered on:"
"Delivered to:","Delivered to:"
"Description","Description"
"Design","Design"
"Desktop Version","Desktop Version"
"Desktop/Mobile Switcher","Desktop/Mobile Switcher"
"Details","Details"
"Discount (%s)","Discount (%s)"
"Discount :","Discount :"
"Discount Amount","Discount Amount"
"Discount Codes","Discount Codes"
"Discount","Discount"
"Discount%s","Discount%s"
"Display %s first","Display %s first"
"Display Additional Data","Display Additional Data"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Drag to move","Drag to move"
"E-mail","E-mail"
"Each %s can be redeemed for %s.","Each %s can be redeemed for %s."
"Each %s spent will earn %s.","Each %s spent will earn %s."
"Each <strong> %s </strong> %s can be redeemed for <strong> %s </strong>.","Each <strong> %s </strong> %s can be redeemed for <strong> %s </strong>."
"Each <strong> %s </strong> spent will earn <strong> %s </strong> %s.","Each <strong> %s </strong> spent will earn <strong> %s </strong> %s."
"Each earned %s record expires in <span> %s </span> days","Each earned %s record expires in <span> %s </span> days"
"Each earned reward points record expires in %s days.","Each earned reward points record expires in %s days."
"Easy access to your order history and status","Easy access to your order history and status"
"Edit Account Information","Edit Account Information"
"Edit Address Entry","Edit Address Entry"
"Edit Address","Edit Address"
"Edit Gift Message","Edit Gift Message"
"Edit Items","Edit Items"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Edit Newsletters","Edit Newsletters"
"Edit Personal Information","Edit Personal Information"
"Edit Tag","Edit Tag"
"Edit","Edit"
"Email Address","Email Address"
"Email Address:","Email Address:"
"Email Notification Settings","Email Notification Settings"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Email to a Friend","Email to a Friend"
"Email","Email"
"Email:","Email:"
"Enter Gift Card code","Enter Gift Card code"
"Enter a gift message for each item in your order.","Enter a gift message for each item in your order."
"Enter a gift message for entire order.","Enter a gift message for entire order."
"Enter a gift message for this address.","Enter a gift message for this address."
"Enter gift card code","Enter gift card code"
"Enter the gift card code","Enter the gift card code"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Entered amount is too high","Entered amount is too high"
"Entered amount is too low","Entered amount is too low"
"Error:","Error:"
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Excl. Tax","Excl. Tax"
"Excl. Tax:","Excl. Tax:"
"Expiration Date","Expiration Date"
"Expires on %s","Expires on %s"
"Expires: %s","Expires: %s"
"Ext. Price","Ext. Price"
"Fast and easy check out","Fast and easy check out"
"Fast checkout through Google","Fast checkout through Google"
"Fax","Fax"
"Field is not complete","Field is not complete"
"First Name","First Name"
"Footer Copyright","Footer Copyright"
"Footer Links Block","Footer Links Block"
"For latest version visit: %s","For latest version visit: %s"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"From","From"
"From:","From:"
"Gender","Gender"
"General Subscription","General Subscription"
"Get Feed","Get Feed"
"Get a Quote","Get a Quote"
"Gift Card "%s" was added.","Gift Card "%s" was added."
"Gift Card "%s" was removed.","Gift Card "%s" was removed."
"Gift Card (%s)","Gift Card (%s)"
"Gift Card amount applied to order: %s","Gift Card amount applied to order: %s"
"Gift Card status","Gift Card status"
"Gift Card","Gift Card"
"Gift Card: %s","Gift Card: %s"
"Gift Cards","Gift Cards"
"Gift Certificate","Gift Certificate"
"Gift Message for this Order","Gift Message for this Order"
"Gift Message","Gift Message"
"Gift Messages","Gift Messages"
"Go Today","Go Today"
"Go to Address Book","Go to Address Book"
"Go to Wishlist","Go to Wishlist"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Grand Total to be Charged","Grand Total to be Charged"
"Grand Total to be charged","Grand Total to be charged"
"Grand Total","Grand Total"
"Grand Total: %s","Grand Total: %s"
"Grand Total:","Grand Total:"
"Have a gift card? <a href="%s">Click here</a> to redeem it.","Have a gift card? <a href="%s">Click here</a> to redeem it."
"Hello, %s!","Hello, %s!"
"How do you rate this product?","How do you rate this product?"
"ID","ID"
"If not defined, default mobile design is used","If not defined, default mobile design is used"
"If not defined, default mobile links are used. Use automatically created 'Mobile Footer Links (Example)' static block as an example","If not defined, default mobile links are used. Use automatically created 'Mobile Footer Links (Example)' static block as an example"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Info:","Info:"
"Invalid Credit Card Number","Invalid Credit Card Number"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"Invoice #","Invoice #"
"Invoice #%s","Invoice #%s"
"Invoices","Invoices"
"Issue Number","Issue Number"
"Item %d of %d","Item %d of %d"
"Item","Item"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Items Invoiced","Items Invoiced"
"Items Order","Items Order"
"Items Ordered","Items Ordered"
"Items Refunded","Items Refunded"
"Items Shipped","Items Shipped"
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"Items","Items"
"JavaScript seem to be disabled in your browser.","JavaScript seem to be disabled in your browser."
"Language","Language"
"Last 5 Orders","Last 5 Orders"
"Last Added Items","Last Added Items"
"Last Name","Last Name"
"Last Viewed Items","Last Viewed Items"
"Last ordered items","Last ordered items"
"Loading next step...","Loading next step..."
"Loading...","Loading..."
"Local Time","Local Time"
"Location","Location"
"Log In","Log In"
"Log Out","Log Out"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"Login","Login"
"M.I.","M.I."
"MM","MM"
"Make Check payable to: %s","Make Check payable to: %s"
"Manage Addresses","Manage Addresses"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Maximum balance is reached.","Maximum balance is reached."
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum length of the message is %d characters.","Maximum length of the message is %d characters."
"Maximum number of characters","Maximum number of characters"
"Maximum: %s","Maximum: %s"
"Message","Message"
"Message:","Message:"
"Minimum Balance in order to redeem: %s.","Minimum Balance in order to redeem: %s."
"Minimum balance for redeeming points is not reached.","Minimum balance for redeeming points is not reached."
"Minimum: %s","Minimum: %s"
"Miscellaneous Feeds","Miscellaneous Feeds"
"Mobile","Mobile"
"Modify your search","Modify your search"
"Month","Month"
"More Views","More Views"
"My Account","My Account"
"My Cart (%s)","My Cart (%s)"
"My Cart","My Cart"
"My Dashboard","My Dashboard"
"My Downloadable Products","My Downloadable Products"
"My Invitations","My Invitations"
"My Orders - Details","My Orders - Details"
"My Orders","My Orders"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","My Recent Reviews"
"My Recent Tags","My Recent Tags"
"My Reviews","My Reviews"
"My Tags","My Tags"
"My Wishlist - <a href="%s">%d Item(s)</a>","My Wishlist - <a href="%s">%d Item(s)</a>"
"My Wishlist","My Wishlist"
"N/A","N/A"
"Name on Card","Name on Card"
"Name","Name"
"Name:","Name:"
"New Address","New Address"
"New Customers","New Customers"
"New Password","New Password"
"New Products","New Products"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter","Newsletter"
"Newsletters","Newsletters"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Next","Next"
"Nickname","Nickname"
