"name","sku","price","qty","weight","meta_description","meta_keyword","meta_title"
"AMD FX-Series FX-4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","osst-20120505061142","145.0000","30.0000","299.0000","AMD FX-Series FX-4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","AMD FX-Series FX-4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","AMD FX-Series FX-4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB"
"New AMD FX-Series FX-4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","osst-20120505061607","175.0000","30.0000","299.0000","New AMD FX-Series FX-4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","New AMD FX-Series FX-4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","New AMD FX-Series FX-4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB"
"New AMD FX-Series FX-4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","osst-20120505061758","195.0000","30.0000","299.0000","New AMD FX-Series FX-4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","New AMD FX-Series FX-4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","New AMD FX-Series FX-4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX"
"AMD FX-Series FX-4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","osst-20120505061951","155.0000","30.0000","299.0000","AMD FX-Series FX-4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","AMD FX-Series FX-4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","AMD FX-Series FX-4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX"
"AMD FX-Series FX-6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","osst-20120505062248","155.0000","30.0000","299.0000","AMD FX-Series FX-6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","AMD FX-Series FX-6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","AMD FX-Series FX-6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX"
"New AMD FX-Series FX-6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","osst-20120505062530","195.0000","30.0000","299.0000","New AMD FX-Series FX-6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","New AMD FX-Series FX-6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","New AMD FX-Series FX-6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX"
"New AMD FX-Series FX-6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","osst-20120505062734","235.0000","30.0000","499.0000","New AMD FX-Series FX-6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","New AMD FX-Series FX-6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","New AMD FX-Series FX-6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX"
"AMD FX-Series FX-6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","osst-20120505062931","195.0000","30.0000","299.0000","AMD FX-Series FX-6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","AMD FX-Series FX-6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","AMD FX-Series FX-6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX"
"AMD FX-Series FX-8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX 8MB","osst-20120505063307","195.0000","30.0000","299.0000","AMD FX-Series FX-8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX 8MB","AMD FX-Series FX-8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX 8MB","AMD FX-Series FX-8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX 8MB"
"New AMD FX-Series FX-8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX","osst-20120505063534","235.0000","30.0000","499.0000","New AMD FX-Series FX-8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX","New AMD FX-Series FX-8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX","New AMD FX-Series FX-8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX"
"New AMD FX-Series FX-8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX","osst-20120505063759","235.0000","30.0000","499.0000","New AMD FX-Series FX-8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX","New AMD FX-Series FX-8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX","New AMD FX-Series FX-8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX"
"AMD FX-Series FX-8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX","osst-20120505063937","195.0000","30.0000","299.0000","AMD FX-Series FX-8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX","AMD FX-Series FX-8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX","AMD FX-Series FX-8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX"
"	 AMD FX-Series FX-8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","osst-20120505064202","320.0000","30.0000","499.0000","	 AMD FX-Series FX-8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","	 AMD FX-Series FX-8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","	 AMD FX-Series FX-8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB"
"New  AMD FX-Series FX-8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","osst-20120505064508","350.0000","30.0000","499.0000","New  AMD FX-Series FX-8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","New  AMD FX-Series FX-8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","New  AMD FX-Series FX-8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB"
"AMD Athlon 64 FX-51 DeskTop CPU Socket AM2 940 ADAFX51CEP5AK ADAFX51CEP5AT ADAFX51BOX 2.2Ghz 1MB","osst-20120528054642","145.0000","5.0000","299.0000","AMD Athlon 64 FX-51 DeskTop CPU Socket AM2 940 ADAFX51CEP5AK ADAFX51CEP5AT ADAFX51BOX 2.2Ghz 1MB","AMD Athlon 64 FX-51 DeskTop CPU Socket AM2 940 ADAFX51CEP5AK ADAFX51CEP5AT ADAFX51BOX 2.2Ghz 1MB","AMD Athlon 64 FX-51 DeskTop CPU Socket AM2 940 ADAFX51CEP5AK ADAFX51CEP5AT ADAFX51BOX 2.2Ghz 1MB"
"New AMD Athlon 64 FX-51 DeskTop CPU Socket AM2 940 ADAFX51CEP5AK ADAFX51CEP5AT ADAFX51BOX 2.2Ghz 1MB","osst-20120528055116","175.0000","5.0000","299.0000","New AMD Athlon 64 FX-51 DeskTop CPU Socket AM2 940 ADAFX51CEP5AK ADAFX51CEP5AT ADAFX51BOX 2.2Ghz 1MB","New AMD Athlon 64 FX-51 DeskTop CPU Socket AM2 940 ADAFX51CEP5AK ADAFX51CEP5AT ADAFX51BOX 2.2Ghz 1MB","New AMD Athlon 64 FX-51 DeskTop CPU Socket AM2 940 ADAFX51CEP5AK ADAFX51CEP5AT ADAFX51BOX 2.2Ghz 1MB"
"New AMD Athlon 64 FX-53 DeskTop CPU Socket AM2 940 ADAFX53CEP5AT ADAFX53ASBOX 2.4Ghz 1MB","osst-20120528060012","175.0000","5.0000","299.0000","New AMD Athlon 64 FX-53 DeskTop CPU Socket AM2 940 ADAFX53CEP5AT ADAFX53ASBOX 2.4Ghz 1MB","New AMD Athlon 64 FX-53 DeskTop CPU Socket AM2 940 ADAFX53CEP5AT ADAFX53ASBOX 2.4Ghz 1MB","New AMD Athlon 64 FX-53 DeskTop CPU Socket AM2 940 ADAFX53CEP5AT ADAFX53ASBOX 2.4Ghz 1MB"
"AMD Athlon 64 FX-53 DeskTop CPU Socket AM2 940 ADAFX53CEP5AT ADAFX53ASBOX 2.4Ghz 1MB","osst-20120528060157","145.0000","5.0000","299.0000","AMD Athlon 64 FX-53 DeskTop CPU Socket AM2 940 ADAFX53CEP5AT ADAFX53ASBOX 2.4Ghz 1MB","AMD Athlon 64 FX-53 DeskTop CPU Socket AM2 940 ADAFX53CEP5AT ADAFX53ASBOX 2.4Ghz 1MB","AMD Athlon 64 FX-53 DeskTop CPU Socket AM2 940 ADAFX53CEP5AT ADAFX53ASBOX 2.4Ghz 1MB"
"AMD Athlon 64 FX-62 DeskTop CPU Socket AM2 940 ADAFX62IAA6CS ADAFX62CSBOX 2.8Ghz 2MB","osst-20120528060347","175.0000","5.0000","299.0000","AMD Athlon 64 FX-62 DeskTop CPU Socket AM2 940 ADAFX62IAA6CS ADAFX62CSBOX 2.8Ghz 2MB","AMD Athlon 64 FX-62 DeskTop CPU Socket AM2 940 ADAFX62IAA6CS ADAFX62CSBOX 2.8Ghz 2MB","AMD Athlon 64 FX-62 DeskTop CPU Socket AM2 940 ADAFX62IAA6CS ADAFX62CSBOX 2.8Ghz 2MB"
"New AMD Athlon 64 FX-62 DeskTop CPU Socket AM2 940 ADAFX62IAA6CS ADAFX62CSBOX 2.8Ghz 2MB","osst-20120528060811","195.0000","5.0000","299.0000","New AMD Athlon 64 FX-62 DeskTop CPU Socket AM2 940 ADAFX62IAA6CS ADAFX62CSBOX 2.8Ghz 2MB","New AMD Athlon 64 FX-62 DeskTop CPU Socket AM2 940 ADAFX62IAA6CS ADAFX62CSBOX 2.8Ghz 2MB","New AMD Athlon 64 FX-62 DeskTop CPU Socket AM2 940 ADAFX62IAA6CS ADAFX62CSBOX 2.8Ghz 2MB"
"AMD Athlon 64 FX-53 DeskTop CPU 939 ADAFX53DEP5AS ADAFX53BOX 2.4Ghz 1MB","osst-20120528061035","145.0000","5.0000","299.0000","AMD Athlon 64 FX-53 DeskTop CPU 939 ADAFX53DEP5AS ADAFX53BOX 2.4Ghz 1MB","AMD Athlon 64 FX-53 DeskTop CPU 939 ADAFX53DEP5AS ADAFX53BOX 2.4Ghz 1MB","AMD Athlon 64 FX-53 DeskTop CPU 939 ADAFX53DEP5AS ADAFX53BOX 2.4Ghz 1MB"
"New AMD Athlon 64 FX-53 DeskTop CPU 939 ADAFX53DEP5AS ADAFX53BOX 2.4Ghz 1MB","osst-20120528061828","175.0000","5.0000","299.0000","New AMD Athlon 64 FX-53 DeskTop CPU 939 ADAFX53DEP5AS ADAFX53BOX 2.4Ghz 1MB","New AMD Athlon 64 FX-53 DeskTop CPU 939 ADAFX53DEP5AS ADAFX53BOX 2.4Ghz 1MB","New AMD Athlon 64 FX-53 DeskTop CPU 939 ADAFX53DEP5AS ADAFX53BOX 2.4Ghz 1MB"
"New AMD Athlon 64 FX-55 DeskTop CPU 939 ADAFX55DAA5BN ADAFX55BNBOX ADAFX55DEI5AS ADAFX55ASBOX","osst-20120528062137","175.0000","5.0000","299.0000","New AMD Athlon 64 FX-55 DeskTop CPU 939 ADAFX55DAA5BN ADAFX55BNBOX ADAFX55DEI5AS ADAFX55ASBOX","New AMD Athlon 64 FX-55 DeskTop CPU 939 ADAFX55DAA5BN ADAFX55BNBOX ADAFX55DEI5AS ADAFX55ASBOX","New AMD Athlon 64 FX-55 DeskTop CPU 939 ADAFX55DAA5BN ADAFX55BNBOX ADAFX55DEI5AS ADAFX55ASBOX"
"AMD Athlon 64 FX-55 DeskTop CPU 939 ADAFX55DAA5BN ADAFX55BNBOX ADAFX55DEI5AS ADAFX55ASBOX","osst-20120528063014","145.0000","5.0000","299.0000","AMD Athlon 64 FX-55 DeskTop CPU 939 ADAFX55DAA5BN ADAFX55BNBOX ADAFX55DEI5AS ADAFX55ASBOX","AMD Athlon 64 FX-55 DeskTop CPU 939 ADAFX55DAA5BN ADAFX55BNBOX ADAFX55DEI5AS ADAFX55ASBOX","AMD Athlon 64 FX-55 DeskTop CPU 939 ADAFX55DAA5BN ADAFX55BNBOX ADAFX55DEI5AS ADAFX55ASBOX"
"AMD Athlon 64 FX-57 DeskTop CPU 939 ADAFX57DAA5BN ADAFX57BNBOX  2.8Ghz 1MB","osst-20120528063145","145.0000","5.0000","299.0000","AMD Athlon 64 FX-57 DeskTop CPU 939 ADAFX57DAA5BN ADAFX57BNBOX  2.8Ghz 1MB","AMD Athlon 64 FX-57 DeskTop CPU 939 ADAFX57DAA5BN ADAFX57BNBOX  2.8Ghz 1MB","AMD Athlon 64 FX-57 DeskTop CPU 939 ADAFX57DAA5BN ADAFX57BNBOX  2.8Ghz 1MB"
"New AMD Athlon 64 FX-57 DeskTop CPU 939 ADAFX57DAA5BN ADAFX57BNBOX  2.8Ghz 1MB","osst-20120528063354","175.0000","5.0000","299.0000","New AMD Athlon 64 FX-57 DeskTop CPU 939 ADAFX57DAA5BN ADAFX57BNBOX  2.8Ghz 1MB","New AMD Athlon 64 FX-57 DeskTop CPU 939 ADAFX57DAA5BN ADAFX57BNBOX  2.8Ghz 1MB","New AMD Athlon 64 FX-57 DeskTop CPU 939 ADAFX57DAA5BN ADAFX57BNBOX  2.8Ghz 1MB"
"New AMD Athlon 64 FX-60 DeskTop CPU 939 ADAFX60DAA6CD ADAFX60CDBOX  2.6Ghz 2MB","osst-20120528063531","195.0000","5.0000","299.0000","New AMD Athlon 64 FX-60 DeskTop CPU 939 ADAFX60DAA6CD ADAFX60CDBOX  2.6Ghz 2MB","New AMD Athlon 64 FX-60 DeskTop CPU 939 ADAFX60DAA6CD ADAFX60CDBOX  2.6Ghz 2MB","New AMD Athlon 64 FX-60 DeskTop CPU 939 ADAFX60DAA6CD ADAFX60CDBOX  2.6Ghz 2MB"
"AMD Athlon 64 FX-60 DeskTop CPU 939 ADAFX60DAA6CD ADAFX60CDBOX  2.6Ghz 2MB","osst-20120528063725","175.0000","5.0000","299.0000","AMD Athlon 64 FX-60 DeskTop CPU 939 ADAFX60DAA6CD ADAFX60CDBOX  2.6Ghz 2MB","AMD Athlon 64 FX-60 DeskTop CPU 939 ADAFX60DAA6CD ADAFX60CDBOX  2.6Ghz 2MB","AMD Athlon 64 FX-60 DeskTop CPU 939 ADAFX60DAA6CD ADAFX60CDBOX  2.6Ghz 2MB"
"AMD Athlon 64 FX-70 Desktop CPU Socket F LGA 1207 ADAFX70GAA6DI ADAFX70DIBOX 2.6Ghz 2M","osst-20120528064602","195.0000","5.0000","299.0000","AMD Athlon 64 FX-70 Desktop CPU Socket F LGA 1207 ADAFX70GAA6DI ADAFX70DIBOX 2.6Ghz 2M","AMD Athlon 64 FX-70 Desktop CPU Socket F LGA 1207 ADAFX70GAA6DI ADAFX70DIBOX 2.6Ghz 2M","AMD Athlon 64 FX-70 Desktop CPU Socket F LGA 1207 ADAFX70GAA6DI ADAFX70DIBOX 2.6Ghz 2M"
"New AMD Athlon 64 FX-70 Desktop CPU Socket F LGA 1207 ADAFX70GAA6DI ADAFX70DIBOX 2.6Ghz 2M","osst-20120528065108","225.0000","5.0000","499.0000","New AMD Athlon 64 FX-70 Desktop CPU Socket F LGA 1207 ADAFX70GAA6DI ADAFX70DIBOX 2.6Ghz 2M","New AMD Athlon 64 FX-70 Desktop CPU Socket F LGA 1207 ADAFX70GAA6DI ADAFX70DIBOX 2.6Ghz 2M","New AMD Athlon 64 FX-70 Desktop CPU Socket F LGA 1207 ADAFX70GAA6DI ADAFX70DIBOX 2.6Ghz 2M"
"New AMD Athlon 64 FX-72 Desktop CPU Socket F LGA 1207 ADAFX72GAA6DI ADAFX72DIBOX 2.8Ghz 2M","osst-20120528065346","225.0000","5.0000","499.0000","New AMD Athlon 64 FX-72 Desktop CPU Socket F LGA 1207 ADAFX72GAA6DI ADAFX72DIBOX 2.8Ghz 2M","New AMD Athlon 64 FX-72 Desktop CPU Socket F LGA 1207 ADAFX72GAA6DI ADAFX72DIBOX 2.8Ghz 2M","New AMD Athlon 64 FX-72 Desktop CPU Socket F LGA 1207 ADAFX72GAA6DI ADAFX72DIBOX 2.8Ghz 2M"
"AMD Athlon 64 FX-72 Desktop CPU Socket F LGA 1207 ADAFX72GAA6DI ADAFX72DIBOX 2.8Ghz 2M","osst-20120528065553","195.0000","5.0000","299.0000","AMD Athlon 64 FX-72 Desktop CPU Socket F LGA 1207 ADAFX72GAA6DI ADAFX72DIBOX 2.8Ghz 2M","AMD Athlon 64 FX-72 Desktop CPU Socket F LGA 1207 ADAFX72GAA6DI ADAFX72DIBOX 2.8Ghz 2M","AMD Athlon 64 FX-72 Desktop CPU Socket F LGA 1207 ADAFX72GAA6DI ADAFX72DIBOX 2.8Ghz 2M"
"AMD Athlon 64 FX-74 Desktop CPU Socket F LGA 1207 ADAFX74GAA6DI ADAFX74DIBOX 3Ghz 2M","osst-20120528065737","195.0000","5.0000","299.0000","AMD Athlon 64 FX-74 Desktop CPU Socket F LGA 1207 ADAFX74GAA6DI ADAFX74DIBOX 3Ghz 2M","AMD Athlon 64 FX-74 Desktop CPU Socket F LGA 1207 ADAFX74GAA6DI ADAFX74DIBOX 3Ghz 2M","AMD Athlon 64 FX-74 Desktop CPU Socket F LGA 1207 ADAFX74GAA6DI ADAFX74DIBOX 3Ghz 2M"
"AMD Athlon 64 FX-74 Desktop CPU Socket F LGA 1207 ADAFX74GAA6DI ADAFX74DIBOX 3Ghz 2M","osst-20120528065914","195.0000","5.0000","299.0000","AMD Athlon 64 FX-74 Desktop CPU Socket F LGA 1207 ADAFX74GAA6DI ADAFX74DIBOX 3Ghz 2M","AMD Athlon 64 FX-74 Desktop CPU Socket F LGA 1207 ADAFX74GAA6DI ADAFX74DIBOX 3Ghz 2M","AMD Athlon 64 FX-74 Desktop CPU Socket F LGA 1207 ADAFX74GAA6DI ADAFX74DIBOX 3Ghz 2M"
