"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","url_key","thumbnail","gift_message_available","url_path","custom_design","options_container","image_label","small_image_label","thumbnail_label","page_layout","model_number","socket_type","cpu_speed","price","weight","status","visibility","enable_googlecheckout","item_location","brand","payment","condition","description","meta_keyword","short_description","custom_layout_update","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base,eu,ca,uk,tw,asia,cn,hk,in,mx,se,be,nl,fr,it,es","CPU","simple","3,98,118,202","osst-20110524070310","0","AMD Turion TL-50 TMDTL50HAX4CT Mobile CPU Processor Socket S1G1 638pin 1.6GHz 512KB OEM ","AMD Turion TL-50 TMDTL50HAX4CT Mobile CPU Processor Socket S1G1 638pin 1.6GHz 512KB OEM ","AMD Turion TL-50 TMDTL50HAX4CT Mobile CPU Processor Socket S1G1 638pin 1.6GHz 512KB OEM ","/a/m/amd_ql_neo_img_1_1_1_1_2_4.jpg","/f/i/file_249_2_15.jpg","amd-turion-tl-50-tmdtl50hax4ct-mobile-cpu-processor-socket-s1g1-638pin-1-6ghz-512kb-oem","/f/i/file_249_2_15.jpg","No","amd-turion-tl-50-tmdtl50hax4ct-mobile-cpu-processor-socket-s1g1-638pin-1-6ghz-512kb-oem.html","","Product Info Column","","","","No layout updates","AMD Turion TL-50","Socket S1G1","1.6GHz","22.0000","51.0000","Enabled","Catalog, Search","Yes","TW, HK, CN","AMD ","Paypal, T/T Bank Transfer, Credit Card, Alipay, ECSOW, Western Union","Refurbished","<p><style type=""text/css"">
.lefttop,.leftbottom{display: block;background: transparent;font-size: 1px;}
.left1, .left2, .left3, .left4 {display: block;overflow: hidden;}
.left1, .left2, .left3 {height: 1px;}
.left2, .left3, .left4 {
	background:#ffffff; /* content bg colour */
	border-left: 1px solid #999999; /* border colour */
	border-right: 1px solid #999999; /* border colour */
}
.left1 {margin: 0 5px;background:#999999; /* border colour */}
.left2 {margin: 0 3px;border-width: 0 2px;}
.left3 {margin: 0 2px;}
.left4 {height: 2px;margin: 0 1px;}

.ds_bg{
	background:url(http://www.os-store.com/html/description/aa.png) repeat 0 0;
	width:970px;
	color:#000000;
	font-family:Arial, Helvetica, sans-serif;
	}
.ds_border{border:#999999 1px solid; border-top:none;border-bottom:none;padding:15px 0;line-height:35px;}
.ds_title{font-size:26px;}
.ds_info{font-size:22px;color:#3300FF;}
.ds_value{font-size:22px;}
.ds_red{color:#FF0000;font-size:22px;}
.ds_image{width:968px; padding:10px 1px;}
.ds_product{background: url(http://www.os-store.com/html/description/ds_product_bg.jpg) no-repeat 0 0;height:35px;width:900px;color:#ffffff;font-size:22px;font-weight:bold;text-align:center;}
.ds_product_border{border:1px solid #000792;border-top:none;padding:10px;}
.ds_product_title{font-size:24px;color:#3300FF;padding-top:5px;}
.ds_product_text{font-size:17px;line-height:25px;}
.ds_product_info{font-size:18px;font-weight:bold;}
.ds_product_value{font-size:18px;padding-left:10px;}</style></p><div onselect=""document.selection.empty()&quot;"" oncopy=""document.selection.empty()"" onbeforecopy=""return false"" ondragstart=""return false"" onselectstart=""return false"" false="""" return=""""><div class=""ds_bg""><div class=""lefttop""><div class=""left1"">&#160;</div><div class=""left2"">&#160;</div><div class=""left3"">&#160;</div><div class=""left4"">&#160;</div></div><div class=""ds_border""><table width=""968"" border=""0""><tbody><tr><td align=""center"" width=""120"" valign=""top""><img width=""85"" height=""85"" alt="""" src=""http://www.os-store.com/html/description/hot.gif"" /></td><td align=""left"" valign=""top""><p><!--[if gte mso 9]><xml>
 <w:WordDocument>
  <w:View>Normal</w:View>
  <w:Zoom>0</w:Zoom>
  <w:PunctuationKerning />
  <w:DrawingGridVerticalSpacing>7.8 磅</w:DrawingGridVerticalSpacing>
  <w:DisplayHorizontalDrawingGridEvery>0</w:DisplayHorizontalDrawingGridEvery>
  <w:DisplayVerticalDrawingGridEvery>2</w:DisplayVerticalDrawingGridEvery>
  <w:ValidateAgainstSchemas />
  <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid>
  <w:IgnoreMixedContent>false</w:IgnoreMixedContent>
  <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText>
  <w:Compatibility>
   <w:SpaceForUL />
   <w:BalanceSingleByteDoubleByteWidth />
   <w:DoNotLeaveBackslashAlone />
   <w:ULTrailSpace />
   <w:DoNotExpandShiftReturn />
   <w:AdjustLineHeightInTable />
   <w:BreakWrappedTables />
   <w:SnapToGridInCell />
   <w:WrapTextWithPunct />
   <w:UseAsianBreakRules />
   <w:DontGrowAutofit />
   <w:UseFELayout />
  </w:Compatibility>
  <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel>
 </w:WordDocument>
</xml><![endif]--><!--[if gte mso 9]><xml>
 <w:LatentStyles DefLockedState=""false"" LatentStyleCount=""156"">
 </w:LatentStyles>
</xml><![endif]--><!--[if gte mso 10]>
<style>
 /* Style Definitions */
 table.MsoNormalTable
	{mso-style-name:普通表格;
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:10.0pt;
	font-family:""Times New Roman"";
	mso-ansi-language:#0400;
	mso-fareast-language:#0400;
	mso-bidi-language:#0400;}
</style>
<![endif]--></p><p class=""MsoNormal""><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;""><span lang=""EN-US"">&#160;</span></span></span></p><p><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;"">AMD Turion Series Mobile CPU Processor <br /></span></span></p><p>&#160;</p><p>&#160;</p><span style=""font-family: Arial;""><span style=""font-family: Arial;""><p><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;"">Brand: </span></span><span style=""font-size: x-large;"">Original AMD<br /></span></p></span></span><p><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;"">Model:</span></span><span style=""font-size: x-large;"">&#160; AMD Turion TL-50<br /></span></p><p><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;"">Setp Code:&#160; </span></span><span style=""font-size: x-large;"">TMDTL50HAX4CT</span><span style=""color: rgb(255, 0, 0);""><span style=""font-size: x-large;"">(</span></span><span style=""color: rgb(255, 0, 0);""><span style=""font-size: x-large;"">OEM Original Version)&#160;</span></span></p><p><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;"">CPU Socket: </span></span><span style=""font-size: x-large;"">S1G1<br /></span></p><p><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;"">Condition: </span></span><span style=""font-size: x-large;""><font style=""font-family: Arial;""><span lang=""EN-US"" style=""font-family: Arial;"">Clean Pulled &amp; Like New</span></font></span></p><p><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;"">Warranty: </span></span><span style=""font-size: x-large;"">DOA 30Days&#160;</span></p><p><span style=""color: rgb(255, 0, 0);""><span style=""font-size: x-large;"">(If remove marker or sticker, No Warranty)&#160;</span></span></p><p><span style=""color: rgb(0, 0, 255);""><span style=""font-size: x-large;"">Payment:</span></span><span style=""font-size: x-large;""> Paypal or other method</span></p></td></tr></tbody></table><div class=""ds_image"" style=""text-align: left;""><font face=""Verdana""><img src=""http://lh4.ggpht.com/osstore001/SMonTBNtfHI/AAAAAAAADSA/NZ-l2gBHBQk/s800/TL50_nEO_IMG.jpg"" alt="""" /></font><font face=""Verdana""><img src=""http://lh5.ggpht.com/osstore001/SMonTTV918I/AAAAAAAADSI/ydFw3iMzmVg/s800/Turion%2064_X2%20%281%29_nEO_IMG.jpg"" alt="""" /></font></div></div><div class=""leftbottom""><div class=""left4"">&#160;</div><div class=""left3"">&#160;</div><div class=""left2"">&#160;</div><div class=""left1"">&#160;</div></div></div></div><p>&#160;</p>","AMD Turion TL-50 TMDTL50HAX4CT Mobile CPU Processor Socket S1G1 638pin 1.6GHz 512KB OEM ","<p>Processor 中央处理器 中央處理器 المعالج للمعلومات&#160; Prozessor プロセッサпроцессор Processeur</p><p>프로세서 processus pemproses  מעב işlemci processador processorn procesoro</p><p>หน่วยประมวลผล Prosesor  bộ vi xử lý επεξεργαστή procesador processzor processore</p>","","50.0000","0.0000","1","1","0","1","1.0000","1","0.0000","1","1","","0.0000","0","0","1","0","1","0.0000","1","0","0","0","1","AMD Turion TL-50 TMDTL50HAX4CT Mobile CPU Processor Socket S1G1 638pin 1.6GHz 512KB OEM ","0","simple","",""
"admin","base,eu,ca,uk,tw,asia,cn,hk,in,mx,se,be,nl,fr,it,es","CPU","simple","3,98,118,202","osst-20111105041737","1","AMD Turion TL-50 MDTL50HAX5CT Mobile CPU Processor Socket S1G1 638pin 1.6GHz 512KB ","AMD Turion TL-50 MDTL50HAX5CT Mobile CPU Processor Socket S1G1 638pin 1.6GHz 512KB ","AMD Turion TL-50 MDTL50HAX5CT Mobile CPU Processor Socket S1G1 638pin 1.6GHz 512KB ","/a/m/amd_ql_neo_img_1_1_1_1_2_1_1_2.jpg","/f/i/file_249_2_39.jpg","amd-turion-tl-50-mdtl50hax5ct-mobile-cpu-processor-socket-s1g1-638pin-1-6ghz-512kb-oem","/f/i/file_249_2_39.jpg","No","amd-turion-tl-50-mdtl50hax5ct-mobile-cpu-processor-socket-s1g1-638pin-1-6ghz-512kb-oem.html","","Block after Info Column","","","","No layout updates","AMD Turion TL-50","Socket S1G1","1.6GHz","22.0000","51.0000","Enabled","Catalog, Search","Yes","TW, HK, CN","AMD ","Paypal, T/T Bank Transfer, Credit Card, Alipay, ECSOW, Western Union","Refurbished","<p><style type=""text/css"">
.lefttop,.leftbottom{display: block;background: transparent;font-size: 1px;}
.left1, .left2, .left3, .left4 {display: block;overflow: hidden;}
.left1, .left2, .left3 {height: 1px;}
.left2, .left3, .left4 {
	background:#ffffff; /* content bg colour */
	border-left: 1px solid #999999; /* border colour */
	border-right: 1px solid #999999; /* border colour */
}
.left1 {margin: 0 5px;background:#999999; /* border colour */}
.left2 {margin: 0 3px;border-width: 0 2px;}
.left3 {margin: 0 2px;}
.left4 {height: 2px;margin: 0 1px;}

.ds_bg{
	background:url(http://www.os-store.com/html/description/aa.png) repeat 0 0;
	width:970px;
	color:#000000;
	font-family:Arial, Helvetica, sans-serif;
	}
.ds_border{border:#999999 1px solid; border-top:none;border-bottom:none;padding:15px 0;line-height:35px;}
.ds_title{font-size:26px;}
.ds_info{font-size:22px;color:#3300FF;}
.ds_value{font-size:22px;}
.ds_red{color:#FF0000;font-size:22px;}
.ds_image{width:968px; padding:10px 1px;}
.ds_product{background: url(http://www.os-store.com/html/description/ds_product_bg.jpg) no-repeat 0 0;height:35px;width:900px;color:#ffffff;font-size:22px;font-weight:bold;text-align:center;}
.ds_product_border{border:1px solid #000792;border-top:none;padding:10px;}
.ds_product_title{font-size:24px;color:#3300FF;padding-top:5px;}
.ds_product_text{font-size:17px;line-height:25px;}
.ds_product_info{font-size:18px;font-weight:bold;}
.ds_product_value{font-size:18px;padding-left:10px;}</style></p><div return="""" false="""" onselectstart=""return false"" ondragstart=""return false"" onbeforecopy=""return false"" oncopy=""document.selection.empty()"" onselect=""document.selection.empty()&quot;""><div class=""ds_bg""><div class=""lefttop""><div class=""left1"">&#160;</div><div class=""left2"">&#160;</div><div class=""left3"">&#160;</div><div class=""left4"">&#160;</div></div><div class=""ds_border""><table width=""968"" border=""0""><tbody><tr><td align=""center"" width=""120"" valign=""top""><img width=""85"" height=""85"" src=""http://www.os-store.com/html/description/hot.gif"" alt="""" /></td><td align=""left"" valign=""top""><p><!--[if gte mso 9]><xml>
 <w:WordDocument>
  <w:View>Normal</w:View>
  <w:Zoom>0</w:Zoom>
  <w:PunctuationKerning />
  <w:DrawingGridVerticalSpacing>7.8 磅</w:DrawingGridVerticalSpacing>
  <w:DisplayHorizontalDrawingGridEvery>0</w:DisplayHorizontalDrawingGridEvery>
  <w:DisplayVerticalDrawingGridEvery>2</w:DisplayVerticalDrawingGridEvery>
  <w:ValidateAgainstSchemas />
  <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid>
  <w:IgnoreMixedContent>false</w:IgnoreMixedContent>
  <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText>
  <w:Compatibility>
   <w:SpaceForUL />
   <w:BalanceSingleByteDoubleByteWidth />
   <w:DoNotLeaveBackslashAlone />
   <w:ULTrailSpace />
   <w:DoNotExpandShiftReturn />
   <w:AdjustLineHeightInTable />
   <w:BreakWrappedTables />
   <w:SnapToGridInCell />
   <w:WrapTextWithPunct />
   <w:UseAsianBreakRules />
   <w:DontGrowAutofit />
   <w:UseFELayout />
  </w:Compatibility>
  <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel>
 </w:WordDocument>
</xml><![endif]--><!--[if gte mso 9]><xml>
 <w:LatentStyles DefLockedState=""false"" LatentStyleCount=""156"">
 </w:LatentStyles>
</xml><![endif]--><!--[if gte mso 10]>
<style>
 /* Style Definitions */
 table.MsoNormalTable
	{mso-style-name:普通表格;
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:10.0pt;
	font-family:""Times New Roman"";
	mso-ansi-language:#0400;
	mso-fareast-language:#0400;
	mso-bidi-language:#0400;}
</style>
