Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Computer,atech-eu.com products,1,Yes,computer,"Computer: Laptop computers,notebooks are the hottest sellers on the market today. As technology has advanced and gotten smaller, notebook computers are more powerful, more portable, and have longer battery lives than ever before. Shop our selection of new and used laptops, computer accessories, TV Card, keyboard & Mouse, CPU,BGA,Hard drive,Networking Devicer,DRAM/Memory and more.",,"os-store.com - computer accessories,Laptop hardware,computer hardware,pc parts,Netbooks","PC Accessories,Computer Hardware, Computer Parts,laptops, notebooks","Os-store.com offers the best deals on PC Accessories,Computer Hardware, Computer Parts ,laptop computer with Fast and Easy Shipping.",Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Converter,atech-eu.com products,2,Yes,converter,Converter Device,,Converter Device,Converter Device,Converter Device,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
MID Tablet PC,atech-eu.com products,3,Yes,mid-tablet-pc,"MID Tablet PC Apple iPad Acer Asus Amazon Dell HTC Huawei HYUNDAI Lenovo Motorola Samsung ViewSonic Google Android Windows Capacitive Touch Screen 7"" 7.9"" 8"" 8.9"" 9"" 9.7"" 10.1"" inch WIFI 3G Camera GPS HDMI",,os-store.com - Android Windows Touch Screen MID Tablet PC,"MID Tablet PC Apple iPad Acer Asus Amazon Dell HTC Huawei HYUNDAI Lenovo Motorola Samsung ViewSonic Google Android Windows Capacitive Touch Screen 7"" 7.9"" 8"" 8.9"" 9"" 9.7"" 10.1"" inch WIFI 3G Camera GPS HDMI","Os-store.com offers the best deals on MID Tablet PC Apple iPad Acer Asus Amazon Dell HTC Huawei HYUNDAI Lenovo Motorola Samsung ViewSonic Google Android Windows Capacitive Touch Screen 7"" 7.9"" 8"" 8.9"" 9"" 9.7"" 10.1"" inch WIFI 3G Camera GPS HDMI",Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Special Offer,atech-eu.com products,4,Yes,special-offer,"Special , Hot , Promotion , discount offer",,,,,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Professional Tools,atech-eu.com products,5,Yes,tools,Professional Tools,,Professional Tools,Professional Tools,Professional Tools,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
FoodStuff,atech-eu.com products,6,Yes,foodstuff,,,,,,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Other,atech-eu.com products,7,Yes,other,,,,,,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Security Products,atech-eu.com products,8,Yes,security-products,"High quality Wireless Baby Monitor, High Definition IP Camera,CCTV Sony&Sharp Eiffo-E Camera,H.264 DVR&NVR, Security Monitors,Wireless Camera ,Video Doorphone,Alarm Product,Smart Home Product, please contact us. ",,"os-store.com - Wireless Baby Monitor, High Definition IP Camera,CCTV Sony&Sharp Eiffo-E Camera","Wireless Baby Monitor, High Definition IP Camera,CCTV Sony&Sharp Eiffo-E Camera,H.264 DVR&NVR, Security Monitors,Wireless Camera ,Video Doorphone,Alarm Product,Smart Home Product","Os-store.com offers the best deals on Wireless Baby Monitor,High Definition IP Camera, Eiffo-E Camera,DVR,Video Doorphone,Alarm Product Fast and Easy Shipping.",Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Connectors,atech-eu.com products,9,Yes,connectors,Connectors Component Device,,Connectors Component Device,Connectors Component Device,Connectors Component Device,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
3G & Wireless Card,atech-eu.com products,10,Yes,wireless-card,Wireless WLAN WIFI Card Module Adapter Half Mini PCI-Express USB PCMICA Laptop Desktop 802.11 a/b/g/n+ 802.16e WiMax 2G 3G 4G GPRS LTE GSM HSPA+ HSDAP+ HSUPA+ EVDO WCDMA2000 EDGE UMTS,,Wireless WLAN WIFI Card Module Adapter Half Mini PCI-Express USB PCMICA Laptop Desktop 802.11 a/b/g/n+ 802.16e WiMax 2G 3G 4G GPRS LTE GSM HSPA+ HSDAP+ HSUPA+ EVDO WCDMA2000 EDGE UMTS,Wireless WLAN WIFI Card Module Adapter Half Mini PCI-Express USB PCMICA Laptop Desktop 802.11 a/b/g/n+ 802.16e WiMax 2G 3G 4G GPRS LTE GSM HSPA+ HSDAP+ HSUPA+ EVDO WCDMA2000 EDGE UMTS,Wireless WLAN WIFI Card Module Adapter Half Mini PCI-Express USB PCMICA Laptop Desktop 802.11 a/b/g/n+ 802.16e WiMax 2G 3G 4G GPRS LTE GSM HSPA+ HSDAP+ HSUPA+ EVDO WCDMA2000 EDGE UMTS,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Mobile Phone & PDA,atech-eu.com products,11,Yes,cell-phone-pda,Mobile Phone Cell Phone PDA Accessories LCD Display Screen Touch Digitizer Panel Housing Case Back Cover Battery Memory Card Protect Charger,,Mobile Phone Cell Phone PDA Accessories LCD Display Screen Touch Digitizer Panel Housing Case Back Cover Battery Memory Card Protect Charger,Mobile Phone Cell Phone PDA Accessories LCD Display Screen Touch Digitizer Panel Housing Case Back Cover Battery Memory Card Protect Charger,Mobile Phone Cell Phone PDA Accessories LCD Display Screen Touch Digitizer Panel Housing Case Back Cover Battery Memory Card Protect Charger,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Software,atech-eu.com products,12,Yes,software,"Download software, discounts & coupons for antivirus, spyware blockers, security suites, design, multimedia, tax software downloads",,Software and download-os-store.com,"os-store software,software download","Download software, discounts & coupons for antivirus, spyware blockers, security suites, design, multimedia, tax software downloads",Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Apple iPhone iPad iPod,atech-eu.com products,13,Yes,apple-iphone-ipad-ipod,"Here, we offer different kinds of Apple parts, such as display screen, flex cable, housing, touch screen and so on. These Apple parts are high quality and low price, choose some phone parts for your Apple. ",,Apple iPhone iPad iPod parts,"Apple IPhone IPod IPad LCD Display,Touch Digitizer Screen,Housing Cover,Battery,Flex Cable,Charger,Earphone","Os-store.com offers the best deals on Apple IPhone IPod IPad LCD Display,Touch Digitizer Screen,Housing Cover,Battery,Flex Cable,Charger,Earphone with Fast and Easy Shipping.",Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
IC Chipset,atech-eu.com products,14,Yes,ic-chipset,"We wholesale sis chipset,Analog chipset,Maxim chipset,Nvidia chipset,ATI chipset,Intel chipset and so on",,"Os-store.com - chipset,South Bridge chipset,chip sets,motherboard chipset,computer ic","sis chipset,Analog chipset,Maxim chipset,Nvidia chipset,ATI chipset,Intel chipset","Os-store.com offer the best deals on sis chipset,Analog chipset,Maxim chipset,Nvidia chipset,ATI chipset,Intel chipset with Fast and Easy Shipping",Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Projector,atech-eu.com products,15,Yes,projector,"shopping projector,video projector,LCD projector,DLP & HD projector online.",,"Projector suppliers, Video, LCD, DLP & HD Projectors","Projector suppliers, Video, LCD, DLP & HD Projectors","os-store is a leading supplier of projector,video projector,LCD projector,DLP & HD projector.",Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates,
Digital Products,atech-eu.com products,16,Yes,digital-products,"os-store is a leading of digital products. Whether you\'re looking to sell, promote, or shop for digital goods, os-store.com is for you",,"Digital Products,wholesale digital products,os-store.com","digital products,digital goods,wholesale digital products","os-store is a leading of digital products. Whether you\'re looking to sell, promote, or shop for digital goods, os-store is for you",Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates
Video Game,atech-eu.com products,17,Yes,video-game,PSP PS2 PS3 WII Xbox 360 Nintendo DS LCD Display Screen Housing Case Back Cove Battery Memory Card Protect Charger Repair Parts,,os-store.com - PSP PS2 PS3 WII Xbox 360 Nintendo DS LCD Display Screen Housing Case Back Cove Battery Memory Card Protect Charger Repair Parts,PSP PS2 PS3 WII Xbox 360 Nintendo DS LCD Display Screen Housing Case Back Cove Battery Memory Card Protect Charger Repair Parts,PSP PS2 PS3 WII Xbox 360 Nintendo DS LCD Display Screen Housing Case Back Cove Battery Memory Card Protect Charger Repair Parts,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates
Camera & Parts,atech-eu.com products,18,Yes,camera-parts,Battery HandyCam Video Digital Camera Charger Case Cam DC DSC recharger Lenses Filters Tripods Supports Lighting Grip Holder,,Battery HandyCam Video Digital Camera Charger Case Cam DC DSC recharger Lenses Filters Tripods Supports Lighting Grip Holder,Battery HandyCam Video Digital Camera Charger Case Cam DC DSC recharger Lenses Filters Tripods Supports Lighting Grip Holder,Battery HandyCam Video Digital Camera Charger Case Cam DC DSC recharger Lenses Filters Tripods Supports Lighting Grip Holder,Yes,Products only,,Yes,"Best Value,Name,Price",,No layout updates
